Key,Type,Desc,English (United States),Chinese
Machine Status/Contents,Text,,Contents:,內容物：
Machine Status/Contents Full,Text,,Contents (FULL!):,內容物（已滿！）：
Machine Status/Dispensing,Text,,Dispensing,分配中
Machine Status/Empty,Text,,Empty,空
Machine Status/Error,Text,,ERROR:,錯誤：
Machine Status/Moving,Text,,Moving,移動中
Machine Status/No Room Dish,Text,,(NO ROOM FOR FINISHED DISH!),（沒有空間存放完成的菜肴！）
Machine Status/No Room Ingredient,Text,,(NO ROOM FOR INGREDIENT!),（沒有空間存放食材！）
Machine Status/Off,Text,,Off,關閉
Machine Status/Packaging,Text,,Packaging,打包中
Machine Status/Ready,Text,,Ready,準備就緒
Machine Status/Recharging,Text,,Recharging,充能中
Machine Status/Salmonella,Text,,*(HAS SALMONELLA)*,*(已感染沙門氏菌)*
Machine Status/Spoiled,Text,,(SPOILED),（已變質）
Machine Status/Waiting,Text,,Waiting,等待中
Machine Status/Waiting Ingredients,Text,,Waiting for Ingredients,正在等待食材
Main Menu/Best Efficiency,Text,,Max Efficiency Achieved:,取得的最大效率：
Main Menu/CNInfo,Text,,New and tasty challenges with an Asian twist for very experienced players!,為經驗豐富的玩家專門準備，獨具亞洲風格的美味挑戰！
Main Menu/CNTitle,Text,,Chinese New Year Update,春節更新
Main Menu/CREDITS,Text,,Credits,製作人員
Main Menu/Campaign,Text,,Campaign,劇情模式
Main Menu/Cash,Text,,Cash: $ {[NUMBER]},現金：${[NUMBER]}
Main Menu/Choose name for company,Text,,Choose a name and a logo for your company,選擇公司名稱與標誌
Main Menu/Company Name,Text,,Company Name,公司名稱
Main Menu/Contracts Mode,Text,,Contracts Mode,合約模式
Main Menu/DRMFree Demo Description,Text,,If you enjoyed Automachef please follow the below links to purchase the full game!,如果您喜歡《Automachef》，請通過下列鏈接購買完整版遊戲！
Main Menu/DRMFree Demo Nintendo,Text,,Nintendo Switch: https://bit.ly/2q5BeFe,Nintendo Switch: https://bit.ly/2q5BeFe
Main Menu/DRMFree Demo Social Media,Text,,Or follow the game on social media:,或者在社交媒體上關注本遊戲：
Main Menu/DRMFree Demo Steam,Text,,Steam: https://bit.ly/2qUeqJe,Steam: https://bit.ly/2qUeqJe
Main Menu/DRMFree Demo Title,Text,,Thanks for playing the Demo!,感謝您體驗試玩版！
Main Menu/Demo End,Text,,"Congratulations! You have successfully completed all levels in the demo version of Automachef! The full version includes 40 challenging levels, a sandbox where you can build with no limitations and the exciting Contracts Game Mode!",恭喜！您已成功完成了《Automachef》試玩版中的全部關卡！完整版將包含40個極富挑戰性的關卡，可以讓您不受限制隨意建造的沙盒模式，還有刺激好玩的合約模式！
Main Menu/Demo Feature,Text,,"Sorry, this feature is not available in the demo version of Automachef!",抱歉，此功能在《Automachef》試玩版中無法使用！
Main Menu/Demo Level,Text,,Not Available in Demo,試玩版中不可用。
Main Menu/How To Play,Text,,How To Play,玩法說明
Main Menu/Last Edited,Text,,Last Edited: {[DATE]},上次編輯：{[DATE]}
Main Menu/Level Objectives,Text,,"Deliver {[ORDERS]} meals.
Keep electricity usage under {[POWER]} Wh.
Use fewer than {[INGREDIENTS]} ingredients.","配送{[ORDERS]}餐。
電力消耗維持在{[POWER]}瓦時以下。
使用的食材不超過{[INGREDIENTS]}份。"
Main Menu/Load Saved Game,Text,,Load Saved Game,載入遊戲存檔
Main Menu/Loading,Text,,Loading... Please wait...,正在載入...請稍候...
Main Menu/Mods,Text,,Mods,模組
Main Menu/No Description,Text,,No Description,無描述
Main Menu/Not Unlocked Yet,Text,,Not Unlocked Yet,尚未解鎖
Main Menu/Optional,Text,,(optional),（可選）
Main Menu/Orders To Fulfill,Text,,{[ORDERS]} orders have to be fulfilled,必須完成{[ORDERS]}份訂單
Main Menu/QUIT,Text,,QUIT,退出
Main Menu/ResetLevel,Text,,Reset Level,重置關卡
Main Menu/SETTINGS,Text,,Settings,設置
Main Menu/START,Text,,START,開始
Main Menu/Scenario Editor,Text,,Scenario Editor,場景編輯器
Main Menu/TEST SITE,Text,,Test Site,測試場地
Main Menu/TGInfo,Text,,Give these brand new bonus new levels a try once you have mastered the rest of the game!,精通了遊戲其他內容後，來挑戰下全新的獎勵關卡！
Main Menu/TGTitle,Text,,Thanksgiving Update,感恩節更新
Main Menu/TUTORIAL,Text,,TUTORIAL,教程
Main Menu/Test Site Kitchen,Text,,Test Site Kitchen,測試場地廚房
Main Menu/WarningMessage,Text,,"The Campaign includes tutorials that explain the different types of machines and their uses in an automated kitchen. If you ever feel stuck, use the How To Play section, or play the tutorials available in the Campaign.  ",劇情模式中包含教程，向你解釋不同種類機器與它們在自動化廚房中的作用。如果你感覺自己搞不清狀況，請查看玩法說明部分，或遊玩劇情模式中提供的各種教程。  
Main UI/Achieved Gold Award,Text,,You've achieved the Gold Award objectives!,你達成了金獎任務目標！
Main UI/Achieved Main Objectives,Text,,You've achieved the main objectives of this level!,你打成了本關卡的主要任務目標！
Main UI/Achieved Silver Award,Text,,You've achieved the Silver Award objectives!,你達成了銀獎任務目標！
Main UI/Average Time,Text,,Avg. Time to Fulfill:,平均完成時間：
Main UI/Blackout Condition,Text,,Keep under {[POWER]} W!,電力消耗維持在{[POWER]}瓦以下！
Main UI/Blueprint Cost,Text,,Cost: ,花費: 
Main UI/Blueprint Name,Text,,Blueprint Name,藍圖名稱
Main UI/Blueprint Parts,Text,,Parts: ,部件: 
Main UI/Budget,Text,,Budget,預算
Main UI/Cant Be Empty,Text,,Can't be empty,不能為空
Main UI/Click To Continue Switch,Text,,Press [submit] button to continue...,按 [Submit] 繼續...
Main UI/Click To Retry,Text,,Click to retry...,點擊重試...
Main UI/Click To Select,Text,,Click on a part to select it:,點擊部件將其選中：
Main UI/Click To Select Blueprint,Text,,Click on parts to select them and hit {BlueprintConfirm} when ready to create a blueprint out of them.,點擊部件將其選中，準備好創建藍圖時，按下{BlueprintConfirm}鍵。
Main UI/Click To Select Blueprint Switch,Text,,Select parts and hit [FinishSelection] when ready to create a blueprint out of them.,選擇部件並在準備用它們創建藍圖時選擇 [FinishSelection]。
Main UI/Click To Select Clone,Text,,Click on parts to select them and hit {BlueprintConfirm} when ready to clone them.,點擊部件將其選中，準備好進行複制時，按下{BlueprintConfirm}鍵。
Main UI/Click To Select Move,Text,,Click on parts to select them and hit {BlueprintConfirm} when ready to move them.,點擊部件將其選中，準備好進行移動時，按下{BlueprintConfirm}鍵。
Main UI/Click To Start,Text,,Click to start...,點擊開始...
Main UI/Click to Connect Pipe,Text,,Click on a free pipe connection port on another machine to connect them with a pipe.,點擊另一台機器上空閒的管道連接口，即可用管道將它們連接起來。
Main UI/Click to continue,Text,,Click to continue...,點擊繼續...
Main UI/Click to return to the main menu,Text,,Click to return to the main menu,點擊返回主菜單
Main UI/Company Cash,Text,,Cash: $ {[NUMBER]},現金：${[NUMBER]}
Main UI/Contract Objectives,Text,,Contract Objectives:,合約目標：
Main UI/Cost,Text,,Cost,花費
Main UI/Create New Contract,Text,,+ New Contracts Mode Save,+ 新建合約模式存檔
Main UI/Create New Test Site,Text,,+ Create New Kitchen,+ 新建廚房
Main UI/Creating New Blueprint,Text,,Creating New Blueprint,創建新藍圖
Main UI/Current Energy Usage,Text,,Power Usage,電力消耗
Main UI/Cycle Variants,Text,,Hit the {PartChangeVariant} key to cycle through this part's different variants.,按下{PartChangeVariant}鍵在此部件的不同種類間循環切換。
Main UI/Cycle Variants Switch,Text,,Hit the [TogglePartVariant] to cycle through this part's different variants.,按下 [TogglePartVariant] 在此部件的不同種類間循環切換。
Main UI/Defeat Customers Left,Text,,Some customers didn't get their food on time!,有顧客未能及時收到食物！
Main UI/Demo Follow Social,Text,,"Automachef is available to wishlist on Steam now, and please follow us on Facebook and Twitter for updates about the release date.",您現在已經可以將《Automachef》加入您的Steam願望單。請在Facebook和Twitter平台關注我們，獲取更多關於發售日期的信息。
Main UI/Demo Follow Social Switch,Text,,"Thank you for playing Automachef, we hope you enjoyed the game! Follow us on Facebook and Twitter for updates about the release date.",感謝您遊玩《Automachef》，衷心希望您能喜歡！請在Facebook和Twitter平台關注我們，獲取更多關於發售日期的信息。
Main UI/Demo Full Version Available,Text,,Available on the Steam Store!,現已登陸Steam商店！
Main UI/Demo Full Version Available Switch,Text,,Available in the Nintendo eShop!,現已登陸Nintendo eShop！
Main UI/Demo Head to Store,Text,,Head to the Steam Store,前往Steam商店
Main UI/Demo Return To Campaign,Text,,Return to Campaign,返回劇情模式
Main UI/Demo Thanks For Playing,Text,,"Thank you for playing Automachef, we hope you enjoyed the game!",感謝您遊玩《Automachef》，衷心希望您能喜歡！
Main UI/Dishes,Text,,{[NUMBER]} dishes,{[NUMBER]}份菜肴
Main UI/Empty Slot,Text,,Empty Slot,空欄位
Main UI/Enter Code Here,Text,,Enter code here...,在此處輸入代碼...
Main UI/Event Blackout,Text,,Blackout occurred,停電了
Main UI/Event DishHasBeenInfected,Text,,Dish got contaminated with dangerous bacteria!,菜肴已被危險細菌感染！
Main UI/Event ExpiredOrder,Text,,Order expired,訂單已過期
Main UI/Event Fire,Text,,Fire broke out,發生火災
Main UI/Event InfectedFood,Text,,Dish with dangerous bacteria delivered,配送了帶有危險細菌的菜肴
Main UI/Event Insects,Text,,Infestation broke out,發生蟲災
Main UI/Event SpoiledDish,Text,,Spoiled dish delivered,配送變質菜肴
Main UI/Failure,Text,,Failure!,失敗！
Main UI/Failure Contract,Text,,You haven't met the contract's objectives.,你未能達成合約目標。
Main UI/Failure Power,Text,,You've used more power than allowed and caused a blackout!,你動用的電力超過允許限額，造成了停電！
Main UI/Failure Reputation,Text,,Your reputation level has reached 0%!,你的聲望等級降到了0%！
Main UI/Failure Time,Text,,You've run out of time!,你耗盡了時間！
Main UI/Gold Award,Text,,--- To Get The Gold Award ---,--- 獲得金獎條件 ---
Main UI/In Test Site Mode,Text,,No orders to worry about!,不用擔心訂單的問題！
Main UI/Infinite Funds,Text,,Infinite Funds!,無限資金！
Main UI/Info Lenses,Text,,Info Lenses,信息鏡頭
Main UI/Ingredients,Text,,{[NUMBER]} ingredients,{[NUMBER]}份食材
Main UI/Ingredients Level Condition,Text,,Use fewer than {[NUMBER]} ingredients,使用食材不超過{[NUMBER]}份
Main UI/Ingredients Used,Text,,Ingredients Used,使用的食材
Main UI/Ingredients Used:,Text,,Ingredients Used,使用的食材
Main UI/Level Number,Text,,LEVEL {[NUMBER]},第{[NUMBER]}關
Main UI/Level Objectives,Text,,Level Objectives,關卡目標
Main UI/Level Progress,Text,,Level Progress,關卡進度
Main UI/Load Game,Text,,Load Game,加載遊戲
Main UI/Max Funds:,Text,,Max Funds:,最大資金：
Main UI/Max Ingredients:,Text,,Max Ingredients:,最大食材：
Main UI/Max Power:,Text,,Max Power:,最大電力：
Main UI/Maximum Funds,Text,,Less than $ {[NUMBER]},少於${[NUMBER]}
Main UI/Meals,Text,,Recipes to Prepare,要準備的食譜
Main UI/Mfg Time,Text,,Mfg. Time: {[TIME]} sec.,制造時間：{[TIME]}秒
Main UI/New Blueprint,Text,,+ New Blueprint,+ 新藍圖
Main UI/No,Text,,No,否
Main UI/No Blueprints,Text,,No Blueprints Found For The Current Level,未找到當前關卡的藍圖
Main UI/No Kitchen Events,Text,,There are no kitchen events to show.,沒有可顯示的廚房事件。
Main UI/No Local Test Sites,Text,,You have not created any Test Sites,您尚未創建任何測試場地
Main UI/No Pending DriveThru Orders,Text,,Drive-thru orders will appear here,汽車訂餐訂單將在這裡顯示
Main UI/No Pending Orders,Text,,No Pending Orders,無等待處理的訂單
Main UI/No Pending Restaurant Orders,Text,,Restaurant orders will appear here,餐館訂單將在這裡顯示
Main UI/No Pending TakeOut Orders,Text,,Take-out orders will appear here,外賣訂單將在這裡顯示
Main UI/No Subscribed Test Sites,Text,,You are not subscribed to any Test Sites. Head to the Workshop to view the available Test Sites,您沒有訂閱任何測試場地。請前往創意工坊查看可用的測試場地
Main UI/No. of Orders:,Text,,No. of Orders:,訂單數：
Main UI/Number of Machines,Text,,{[NUMBER]} Machines[i2p_One]{[NUMBER]} Machine,{[NUMBER]}機器[i2p_One]{[NUMBER]}機器
Main UI/NumberOfBlueprints,Text,,(Slots Remaining - #NUM#),（剩余槽位數 - #NUM#）
Main UI/Order Simulation,Text,,"Running simulation for one order of ""{[DISH]}""",正在模擬一份''{[DISH]}''訂單
Main UI/Orders Fulfilled,Text,,Orders Fulfilled,已完成訂單
Main UI/Orders Fulfilled:,Text,,Orders Fulfilled:,已完成訂單：
Main UI/Power,Text,,{[NUMBER]} watts-hour,{[NUMBER]}瓦時
Main UI/Power Consumption,Text,,Power Consumption,電力消耗
Main UI/Power Level Condition,Text,,Power usage has to be less than {[NUMBER]} Wh,電力消耗必須少於{[NUMBER]}瓦時
Main UI/Power Usage Level Condition,Text,,Must be kept under {[NUMBER]} W to prevent blackouts.[i2p_Zero]Unlimited,必須維持在{[NUMBER]}瓦以下，以防發生停電。[i2p_Zero]無限
Main UI/Power Used:,Text,,Power Used:,消耗的電力：
Main UI/Rating,Text,,Rating,評分
Main UI/Recipe For,Text,,Recipe For:,食譜可用於：
Main UI/Recipes,Text,,Recipes,食譜
Main UI/Reputation,Text,,Reputation,聲望
Main UI/Reputation Condition,Text,,"If it reaches 0, it's game over!",如果達到0，遊戲就會結束！
Main UI/Risks,Text,,Risks:,風險：
Main UI/Risks Blackout,Text,,Blackout,停電
Main UI/Risks Breakdowns,Text,,Breakdowns,故障
Main UI/Risks Fires,Text,,Fires,火災
Main UI/Risks Insects,Text,,Infestations,蟲災
Main UI/Risks None,Text,,None,無
Main UI/Save Game,Text,,Save Game,保存遊戲
Main UI/Saving Game,Text,,Saving Game,正在保存遊戲
Main UI/Seconds,Text,,{[NUMBER]} seconds,{[NUMBER]}秒
Main UI/Silver Award,Text,,--- To Get The Silver Award ---,--- 獲得銀獎條件 ---
Main UI/Skip Robot Dialogue,Text,,Skip Robot's Speech,跳過機器人的介紹
Main UI/Stat Cost,Text,,Kitchen Cost,廚房花費
Main UI/Stat Efficiency,Text,,Efficiency,效率
Main UI/Stat Meals Delivered,Text,,Meals Delivered,配送餐飯
Main UI/Stat Meals Failed,Text,,Meals Failed,失敗的餐飯
Main UI/Stat Money Spent,Text,,Money Spent,花費的金錢
Main UI/Stat Power,Text,,Energy Used,消耗的電力
Main UI/Stat Simulation Length,Text,,Time,時間
Main UI/Stats,Text,,Stats,統計數據
Main UI/Submit Design Explanation,Text,,"You can submit the current kitchen layout to the client now. Here is a summary of the expenses, income and reputation changes your company will have if you proceed:",你可以將當前的廚房佈局提交給客戶。如果你繼續執行，你公司的開支、收入與聲望將會發生如下改變：
Main UI/Submit Design to Client,Text,,Submit Design to Client,將設計提交給客戶
Main UI/Success,Text,,Success!,成功！
Main UI/Test Site Last Edited,Text,,Last Edited,上次編輯
Main UI/Test Site Mode Ask Description,Text,,Test Site Description,測試場地描述
Main UI/Test Site Mode Ask Title,Text,,Test Site Name,測試場地名稱
Main UI/Time Left,Text,,Time Left,剩余時間
Main UI/Total Energy Used,Text,,Total Energy Used,電力消耗總量
Main UI/Workshop Error Publishing,Text,,There was an error when trying to publish your Test Site on the Steam Workshop. Please try again later.,嘗試將您的測試場地發布至Steam創意工坊時發生錯誤。請稍後再試。
Main UI/Workshop Overwrite,Text,,"It looks like you have uploaded this Test Site to the Workshop before. Would you like to update the currently published item? If you choose no, it will be published as a new Test Site.",您之前似乎已經將這個測試場地上傳到了創意工坊。是否要更新當前已發布的物品？如果選擇不更新，此測試場地則會作為新測試場地發布。
Main UI/Workshop Publish,Text,,Would you like to publish this Test Site on the Steam Workshop so the entire community is able to download it and play it?,是否要將此測試場地發布到Steam創意工坊，供整個玩家社區下載遊玩？
Main UI/Workshop Publish Success,Text,,The Test Site has been successfully published to the Steam Workshop! Remember to go to the Workshop and add some screenshots so people can find it more easily.,測試場地已成功發布至Steam創意工坊！別忘了前往工坊添加一些屏幕截圖，方便玩家找到測試場地。
Main UI/Workshop Uploading,Text,,"Please wait while we upload the Test Site to the Steam Workshop, this might take a while...
",正在將測試場地上傳至Steam創意工坊，可能需要一定時間，請稍候……
Main UI/Yes,Text,,Yes,是
Mods/Dishes,Text,,Dishes,菜肴
Mods/ErrorComplexRecipe,Text,,Couldn't load mod: the maximum number of ingredients in a recipe is 10.,無法加載模組：食譜中的最大食材數量為10。
Mods/ErrorCouldntRead,Text,,Couldn't load mod: the mod file couldn't be read or unpacked.,無法加載模組：無法讀取或解包模組文件。
Mods/ErrorDishes,Text,,Couldn't load mod: there are levels that reference non-existing dishes.,無法加載模組：有關卡使用了不存在的菜肴。
Mods/ErrorDuplicateInternalNames,Text,,Couldn't load mod: one or more ingredients or dishes have the same internal name.,無法加載模組：有一種或更多的食材或菜肴使用了相同的內部名稱。
Mods/ErrorIcons,Text,,Couldn't load mod: one or more ingredients or dishes do not have an icon texture set.,無法加載模組：有一種或更多的食材或菜肴尚未配備圖標紋理組。
Mods/ErrorMachines,Text,,Couldn't load mod: there are levels that reference non-existing machines in their part sets.,無法加載模組：有關卡在其部件組中使用了不存在的機器。
Mods/ErrorMissingFriendlyNames,Text,,Couldn't load mod: one or more ingredients or dishes do not have a name set.,無法加載模組：有一種或更多的食材或菜肴尚未配備名稱集。
Mods/ErrorNoLevel,Text,,Couldn't load mod: all mods should contain at least one level in order to be playable.,無法加載模組：所有模組都需要擁有至少一個關卡，方可進行遊玩。
Mods/ErrorRecipes,Text,,Couldn't load mod: there are recipes that reference non-existing ingredients.,無法加載模組：有菜譜使用了不存在的食材。
Mods/ErrorTooLong,Text,,Couldn't load mod: there are ingredients or levels with names over 30 characters long.,無法加載模組：食材或關卡名稱超過30個字符。
Mods/ErrorTooManyIngredients,Text,,Couldn't load mod: the maximum number of ingredients and dishes allowed in a mod is 50.,無法加載模組：模組中的食材和菜肴數量上限為50。
Mods/ErrorTooManyLevels,Text,,Couldn't load mod: the maximum number of levels allowed in a mod is 10.,無法加載模組：模組中的關卡數量上限為10。
Mods/Ingredients,Text,,Ingredients,食材
Mods/Levels,Text,,Levels,關卡
Mods/Liquid Ingredients,Text,,Liquid Ingredients,液體食材
Mods/Local Mod,Text,,Mod loaded directly from the filesystem. No description available unless it is published to the Steam Workshop.,從文件系統中直接加載的模組。除非模組已發布至Steam創意工坊，將不會顯示描述。
Mods/Mod Contents,Text,,Mod Contents,模組內容
Mods/No Local Mods,Text,,You have not created any Mods,您尚未創建任何模組
Mods/No Subscribed Mods,Text,,You are not subscribed to any Mods. Head to the Workshop to view the available Mods,您沒有訂閱任何模組。請前往創意工坊查看可用模組
Mods/Select Level,Text,,Select a level to play,選擇要遊玩的關卡
Mods/Title,Text,,Mods,模組
Mods/Workshop Could Not Load,Text,,Unable to load Steam Workshop content,未能加載Steam創意工坊內容
Mods/Workshop Description,Text,,Mod Description,模組描述
Mods/Workshop Description Detail,Text,,Write a description for your Mod...,請輸入模組描述……
Mods/Workshop Error Publishing,Text,,There was an error when trying to publish your mod on the Steam Workshop. Please try again later.,嘗試將您的模組發布至Steam創意工坊時發生錯誤。請稍後再試。
Mods/Workshop Image,Text,,"If you want to customize the image that will be shown for your mod in the Workshop open the folder where your mod is stored and add a 512 x 512 pixels PNG file with the same exact name as the mod but with ""png"" extension.",如果想要對您模組在創意工坊顯示的圖標進行自定義，請打開儲存模組的文件夾，添加一個512 x 512像素的PNG文件，請使用模組名作為文件名，並使用“.png”作為文件擴展名。
Mods/Workshop Name,Text,,Mod Name,模組名稱
Mods/Workshop Name Detail,Text,,Choose a clear and easy to find name for your mod,為您的模組選擇一個清楚易發現的名稱
Mods/Workshop Need To Accept,Text,,Reminder: In order for your item to be publicly visible you need to accept the Steam Workshop terms of service. The Steam Overlay will open after you close this window so you can review your item and accept the terms of service if you haven't done so yet.,提示：為了讓您的物品能夠對公眾可見，您需要接受Steam創意工坊的服務條款。在您關閉此窗口後，Steam界面會自動打開，供您核對您的物品，並接受服務條款（如果尚未接受）。
Mods/Workshop Overwrite,Text,,"It looks like you have uploaded this mod to the Workshop before. Would you like to update the currently published item? If you choose no, it will be published as a new mod.",您之前似乎已經將這個模組上傳到了創意工坊。是否要更新當前已發布的物品？如果選擇不更新，此模組則會作為新模組發布。
Mods/Workshop Progress Committing,Text,,Status: Committing Changes...,狀態：正在確認更改……
Mods/Workshop Progress Idle,Text,,Status: Idle,狀態：空閒
Mods/Workshop Progress Preparing,Text,,Status: Preparing Content...,狀態：正在準備內容……
Mods/Workshop Progress Uploading,Text,,Status: Uploading Content...,狀態：正在上傳內容……
Mods/Workshop Publish,Text,,Would you like to publish this mod on the Steam Workshop so the entire community is able to download it and play it?,是否要將此模組發布到Steam創意工坊，供整個玩家社區下載遊玩？
Mods/Workshop Publish Success,Text,,The mod has been successfully published to the Steam Workshop! Remember to go to the Workshop and add some screenshots so people can find it more easily.,模組已成功發布至Steam創意工坊！別忘了前往工坊添加一些屏幕截圖，方便玩家找到模組。
Mods/Workshop Terms,Text,,"By submitting this item, you agree to the Steam Workshop terms of service.",提交此物品，則代表您已接受Steam創意工坊的服務條款。
Mods/Workshop Uploading,Text,,"Please wait while we upload the mod to the Steam Workshop, this might take a while...",正在將模組上傳至Steam創意工坊，可能需要一定時間，請稍候……
Part Properties/1L1R,Text,,1 Left - 1 Right (50-50 %),1 左 - 1 右（50-50 %）
Part Properties/1L2R,Text,,1 Left - 2 Right (33-67 %),1 左 - 2 右（33-67 %）
Part Properties/1L3R,Text,,1 Left - 3 Right (25-75 %),1 左 - 3 右（25-75 %）
Part Properties/2L1R,Text,,2 Left - 1 Right (67-33 %),2 左 - 1 右（67-33 %）
Part Properties/3L1R,Text,,3 Left - 1 Right (75-25 %),3 左 - 1 右（75-25 %）
Part Properties/Any Finished Dish,Text,,Any finished dish,任意完成的菜肴
Part Properties/Any Ingredient,Text,,Any ingredient,任意食材
Part Properties/Any Source,Text,,Any Source,任意來源
Part Properties/Anything,Text,,Anything,任意物品
Part Properties/Behavior,Text,,Behavior,行為
Part Properties/Being Monitored,Text,,Monitoring,監視中
Part Properties/Cooking Time,Text,,Cooking Time:,烹飪時間：
Part Properties/Destination Teleporter,Text,,Destination Teleporter,目的地傳送器
Part Properties/Dishes to Package,Text,,Dishes to Package,待打包菜肴
Part Properties/Do Nothing,Text,,Do nothing,閒置
Part Properties/Drive Thru,Text,,Drive-Thru,汽車訂餐
Part Properties/Filter Left,Text,,Filtered items to the left,篩選後的物品放到左側
Part Properties/Filter Right,Text,,Filtered items to the right,篩選後的物品放到右側
Part Properties/Finished Left,Text,,Finished dishes on left side,已完成菜肴在左側
Part Properties/Finished Right,Text,,Finished dishes on right side,已完成菜肴在右側
Part Properties/High Power,Text,,High Speed,高速
Part Properties/Ingredient,Text,,Ingredient to dispense,待分配食材
Part Properties/Ingredient Filter,Text,,Ingredient filter,食材篩選器
Part Properties/Initial Contents,Text,,Initial Contents,初始內容物
Part Properties/Initial Contents Liters,Text,,Will start with {[LITERS]} liters of {[INGREDIENT]}.,開局時帶有{[LITERS]}升{[INGREDIENT]}。
Part Properties/Initial Percentage,Text,,Initial Load (%),初始裝載（%）
Part Properties/Left,Text,,Left,左
Part Properties/Long Range,Text,,Long range (2 tiles away),遠程（2方格）
Part Properties/Long Range Drop,Text,,Behavior when putting down,放置時行為
Part Properties/Long Range Pick Up,Text,,Behavior when picking up,拾取時行為
Part Properties/Manufacturing Time,Text,,Manufacturing Time:,制造時間：
Part Properties/None,Text,,None,無
Part Properties/Normal,Text,,Normal,普通
Part Properties/Off when order count,Text,,Off while pending order count is greater than <color=#c18c26>X</color>,待處理訂單數大於<color=#c18c26>X</color>時關閉
Part Properties/Off when pending,Text,,Off while order is pending,訂單待處理時關閉
Part Properties/On when exactly,Text,,On when count is exactly <color=#c18c26>X</color>,數量剛好為<color=#c18c26>X</color>時啟動
Part Properties/On when less,Text,,On when count is less than <color=#c18c26>X</color>,數量少於<color=#c18c26>X</color>時啟動
Part Properties/On when more,Text,,On when count is more than <color=#c18c26>X</color>,數量多於<color=#c18c26>X</color>時啟動
Part Properties/On when off,Text,,Off when output is on,輸出啟動時關閉
Part Properties/On when on,Text,,On when output is on,輸出啟動時啟動
Part Properties/On when order count,Text,,On while pending order count is greater than <color=#c18c26>X</color>,待處理訂單數大於<color=#c18c26>X</color>時啟動
Part Properties/On when pending,Text,,On while order is pending,訂單待處理時啟動
Part Properties/Operation Mode,Text,,Operation mode,操作模式
Part Properties/Order Source,Text,,Order sources to detect,要檢測的訂單來源
Part Properties/Order to Detect,Text,,Order to detect,要檢測的訂單
Part Properties/Origin Teleporter,Text,,Origin Teleporter,起始傳送器
Part Properties/Output Mode,Text,,Output mode (where to put finished dishes),輸出模式（要將完成的菜肴放在何處）
Part Properties/Perform action,Text,,Perform action <color=#c18c26>X</color> times on new order,接到新訂單時執行<color=#c18c26>X</color>次操作
Part Properties/Perform action top,Text,,Perform action <color=#c18c26>X</color> times when order reaches top,訂單達到隊列頂部時執行<color=#c18c26>X</color>次操作
Part Properties/Pipe to,Text,,Pipe to,管道輸送至
Part Properties/Power Saving,Text,,Power Saving,節能
Part Properties/Processing Time,Text,,Processing Time:,處理時間：
Part Properties/Pump Amount,Text,,Amount of liquid to pump (mL),供給泵機的液體數量（mL）
Part Properties/Pump Interval,Text,,Seconds between pumping actions,泵機行動間的秒數
Part Properties/Recipe to Follow,Text,,Recipe to follow,要參照的食譜
Part Properties/Repeater Inverted,Text,,On when input is off (Inverted),輸入關閉時啟動（反向）
Part Properties/Repeater Standard,Text,,On when input is on (Standard),輸入啟動時啟動（標準）
Part Properties/Restaurant,Text,,Restaurant,餐館
Part Properties/Reverse,Text,,Reverse,逆轉
Part Properties/Right,Text,,Right,右
Part Properties/Short Range,Text,,Short range (1 tile away),近程（1方格）
Part Properties/Speed Setting,Text,,Speed setting,速度設置
Part Properties/Splitting Ratio,Text,,Splitting ratio,分離比例
Part Properties/Spoiled Filter,Text,,Filter spoiled dishes,篩除已變質菜肴
Part Properties/Spoiled Filter All,Text,,Pick up all food,拾取全部食物
Part Properties/Spoiled Filter Not Spoiled,Text,,Pick up only non-spoiled food,僅拾取未變質食物
Part Properties/Spoiled Filter Spoiled,Text,,Pick up only spoiled food,僅拾取變質食物
Part Properties/Straight,Text,,Straight,直
Part Properties/Take Out,Text,,Take-Out,外賣
Part Properties/Time Between Ingredients,Text,,Seconds between ingredients,食材時間間隔（秒）
Part Properties/Turn off for X seconds,Text,,Turn off for <color=#c18c26>X</color> sec. on new order,收到新訂單時關閉<color=#c18c26>X</color>秒
Part Properties/Turn on for X seconds,Text,,Turn on for <color=#c18c26>X</color> sec. on new order,收到新訂單時啟動<color=#c18c26>X</color>秒
Part Properties/Value for X,Text,,Value for X,X的取值
